race_id,race_name,circuit_name,location,type,country_name,total_laps,timestamp_start,timestamp_end
9206,Practice 1,Austin,Austin,Practice,United States,,2023-10-20 19:30:00,2023-10-20
9207,Qualifying,Austin,Austin,Qualifying,United States,,2023-10-20 23:00:00,2023-10-21
9212,Sprint,Austin,Austin,Race,United States,,2023-10-22 00:00:00,2023-10-22
9213,Race,Austin,Austin,Race,United States,,2023-10-22 21:00:00,2023-10-22
9214,Practice 1,Lusail,Lusail,Practice,Qatar,,2023-10-06 15:30:00,2023-10-06
9215,Qualifying,Lusail,Lusail,Qualifying,Qatar,,2023-10-06 19:00:00,2023-10-06
9220,Sprint,Lusail,Lusail,Race,Qatar,,2023-10-07 19:30:00,2023-10-07
9221,Race,Lusail,Lusail,Race,Qatar,,2023-10-08 19:00:00,2023-10-08
9222,Practice 1,Sakhir,Sakhir,Practice,Bahrain,,2023-02-23 08:00:00,2023-02-23
9223,Practice 1,Hungaroring,Budapest,Practice,Hungary,,2023-07-21 13:30:00,2023-07-21
9278,Sprint Shootout,Baku,Baku,Qualifying,Azerbaijan,,2023-04-29 10:30:00,2023-04-29
9282,Sprint Shootout,Spielberg,Spielberg,Qualifying,Austria,,2023-07-01 12:00:00,2023-07-01
9286,Sprint Shootout,Spa-Francorchamps,Spa-Francorchamps,Qualifying,Belgium,,2023-07-29 12:00:00,2023-07-29
9294,Sprint Shootout,Austin,Austin,Qualifying,United States,,2023-10-21 19:30:00,2023-10-21
9298,Sprint Shootout,Lusail,Lusail,Qualifying,Qatar,,2023-10-07 15:20:00,2023-10-07
9304,Qualifying,Interlagos,São Paulo,Qualifying,Brazil,,2023-11-03 19:00:00,2023-11-03
9308,Sprint Shootout,Interlagos,São Paulo,Qualifying,Brazil,,2023-11-04 15:00:00,2023-11-04
9314,Qualifying,Las Vegas,Las Vegas,Qualifying,United States,,2023-11-18 09:00:00,2023-11-18
9465,Practice 1,Sakhir,Sakhir,Practice,Bahrain,,2024-02-29 12:30:00,2024-02-29
9466,Practice 2,Sakhir,Sakhir,Practice,Bahrain,,2024-02-29 16:00:00,2024-02-29
9467,Practice 3,Sakhir,Sakhir,Practice,Bahrain,,2024-03-01 13:30:00,2024-03-01
9468,Qualifying,Sakhir,Sakhir,Qualifying,Bahrain,,2024-03-01 17:00:00,2024-03-01
9472,Race,Sakhir,Sakhir,Race,Bahrain,,2024-03-02 16:00:00,2024-03-02
9473,Practice 1,Jeddah,Jeddah,Practice,Saudi Arabia,,2024-03-07 14:30:00,2024-03-07
9474,Practice 2,Jeddah,Jeddah,Practice,Saudi Arabia,,2024-03-07 18:00:00,2024-03-07
9475,Practice 3,Jeddah,Jeddah,Practice,Saudi Arabia,,2024-03-08 14:30:00,2024-03-08
9476,Qualifying,Jeddah,Jeddah,Qualifying,Saudi Arabia,,2024-03-08 18:00:00,2024-03-08
9480,Race,Jeddah,Jeddah,Race,Saudi Arabia,,2024-03-09 18:00:00,2024-03-09
9481,Practice 1,Melbourne,Melbourne,Practice,Australia,,2024-03-22 02:30:00,2024-03-22
9482,Practice 2,Melbourne,Melbourne,Practice,Australia,,2024-03-22 06:00:00,2024-03-22
9483,Practice 3,Melbourne,Melbourne,Practice,Australia,,2024-03-23 02:30:00,2024-03-23
9484,Qualifying,Melbourne,Melbourne,Qualifying,Australia,,2024-03-23 06:00:00,2024-03-23
9488,Race,Melbourne,Melbourne,Race,Australia,,2024-03-24 05:00:00,2024-03-24
9489,Practice 1,Suzuka,Suzuka,Practice,Japan,,2024-04-05 04:30:00,2024-04-05
9490,Practice 2,Suzuka,Suzuka,Practice,Japan,,2024-04-05 08:00:00,2024-04-05
9491,Practice 3,Suzuka,Suzuka,Practice,Japan,,2024-04-06 04:30:00,2024-04-06
9492,Qualifying,Suzuka,Suzuka,Qualifying,Japan,,2024-04-06 08:00:00,2024-04-06
9496,Race,Suzuka,Suzuka,Race,Japan,,2024-04-07 07:00:00,2024-04-07
9663,Practice 1,Shanghai,Shanghai,Practice,China,,2024-04-19 05:30:00,2024-04-19
9664,Qualifying,Shanghai,Shanghai,Qualifying,China,,2024-04-20 09:00:00,2024-04-20
9668,Sprint Qualifying,Shanghai,Shanghai,Qualifying,China,,2024-04-19 09:30:00,2024-04-19
9672,Sprint,Shanghai,Shanghai,Race,China,,2024-04-20 05:00:00,2024-04-20
9673,Race,Shanghai,Shanghai,Race,China,,2024-04-21 09:00:00,2024-04-21
